	Adult_AdrenalGland	Adult_Colon	Adult_Esophagus	Adult_GallBladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Ovary	Adult_Pancreas	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_SpinalCord	Adult_UrinaryBladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Placenta	Fetal_Testis	Immune_CD4	Immune_Monocyte	Immune_NK
REAC:975957	0	0	0	0	0	0	0	0	0	15.5527818419083	0	0	0	0	0	0	0	0	76.2756603698112	15.9870673885519	0	0	0	0
REAC:975956	0	0	0	0	0	0	0	0	0	18.1506536067393	0	0	0	0	0	0	0	0	84.9566315403092	18.7422643680798	0	0	0	0
REAC:2980736	0	0	0	0	0	0	0	0	0	8.61701352669845	0	0	0	0	0	0	15.3341941071299	0	0	7.69961843248124	0	0	0	0
REAC:72766	0	0	0	0	0	0	0	0	0	42.9743895993345	0	0	0	0	0	0	0	0	79.2902865927251	20.9501664371383	5.69284253461787	0	0	0
REAC:72764	0	0	0	0	0	0	0	0	0	18.4997239512928	0	0	0	0	0	0	0	0	89.6268653196443	19.1098359032428	0	0	0	0
REAC:1799339	0	0	0	0	0	0	0	0	0	33.1180806070735	0	0	0	0	0	0	0	0	91.9294504126384	28.4140930040165	0	0	0	0
REAC:156842	0	0	0	0	0	0	0	0	0	20.3517022805139	0	0	0	0	0	0	0	0	88.4095367241369	18.7422643680798	0	0	0	0
REAC:156902	0	0	0	0	0	0	0	0	0	19.0387204520255	0	0	0	0	0	0	0	0	87.9666384416558	19.6829891252913	0	0	0	0
REAC:72613	0	0	0	0	0	0	0	0	0	29.2404590283626	0	0	0	0	0	0	0	0	72.8156224881261	14.8739410569996	0	0	0	0
REAC:72737	0	0	0	0	0	0	0	0	0	29.2404590283626	0	0	0	0	0	0	0	0	72.8156224881261	14.8739410569996	0	0	0	0
REAC:72706	0	0	0	0	0	0	0	0	0	23.75358955527	0	0	0	0	0	0	0	0	75.8283043199938	15.84046391436	0	0	0	0
REAC:72695	0	0	0	0	0	0	0	0	0	9.88368492523995	0	0	0	0	0	0	0	0	40.3151295624017	0	5.69581430500702	0	0	0
REAC:72662	0	0	0	0	0	0	0	0	0	10.6800163420351	0	0	0	0	0	0	0	0	36.6262501082878	0	4.8024023555178	0	0	0
REAC:72649	0	0	0	0	0	0	0	0	0	8.76565455071474	0	0	0	0	0	0	0	0	37.0520825192204	0	4.90492483967414	0	0	0
REAC:72689	0	0	0	0	0	0	0	0	0	23.5517901915165	0	0	0	0	0	0	0	0	81.1283325509455	17.5327894865999	0	0	0	0
REAC:72702	0	0	0	0	0	0	0	0	0	8.76565455071474	0	0	0	0	0	0	0	0	37.0520825192204	0	4.90492483967414	0	0	0
REAC:156827	0	0	0	0	0	0	0	0	0	23.9346696469759	0	0	0	0	0	0	0	0	76.2756603698112	15.9870673885519	0	0	0	0
REAC:2408522	0	0	0	0	0	0	0	0	0	23.0491195568798	0	0	0	0	0	0	0	0	80.2683947556225	15.2765284652801	0	0	0	0
REAC:2408557	0	0	0	0	0	0	0	0	0	18.4997239512928	0	0	0	0	0	0	0	0	86.1321418799714	19.1098359032428	0	0	0	0
REAC:1500931	0	0	0	0	0	0	0	0	0	0	5.58068027752222	0	0	4.83710224333538	5.55450077194045	0	0	0	0	0	0	0	0	0
REAC:5663205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.2189114651017	5.82934569763155	15.7534525373704	0	0	0
